bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price,day_bought,month_bought,year_bought,yr_diff_renovated,yr_diff_bought,sqrt_diff,sqrt_diff_15,yr_renovated_binary,basement_binary,sqft_living_log,sqft_above_log,sqft_living15_log
3,1.75,2450,2691,2.0,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,937000,26,6,2014,0,99,241,1813,0,1,7.803843303538772,7.4673710669175595,7.473069088032197
3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,667000,1,12,2014,0,105,181,2001,0,0,7.24422751560335,7.24422751560335,7.528331766707247
4,2.5,2570,7173,2.0,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,719000,2,3,2015,0,10,4603,3396,0,0,7.851661177889265,7.851661177889265,7.874739125171811
4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000,687500,24,6,2014,0,85,2670,3540,0,1,7.753623546559746,7.31986492980897,7.286191714702382
3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264,696000,13,6,2014,72,84,760,1674,1,1,7.7406644019172415,7.31986492980897,7.371489295214277
5,2.75,3595,5639,2.0,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639,861990,7,7,2014,0,0,2044,2014,0,0,8.187299270155147,8.187299270155147,8.195609567288775
3,1.0,1570,2280,2.0,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,2640,685000,28,10,2014,0,92,710,1060,0,0,7.358830898342354,7.358830898342354,7.365180126021013
4,2.5,2290,13416,2.0,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.151,2680,13685,785000,16,7,2014,0,33,11126,11005,0,0,7.736307096548285,7.736307096548285,7.893572073504902
5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,98105,47.6571,-122.281,2730,6000,920000,3,3,2015,0,88,3270,3270,0,1,7.912056888179006,7.6638772587034705,7.912056888179006
4,2.5,2830,5000,2.0,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5000,885000,12,5,2014,0,19,2170,3050,0,0,7.948031990637284,7.948031990637284,7.575584651557793
5,3.25,3250,14342,2.0,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044,951000,27,8,2014,0,46,11092,8084,0,0,8.086410275323782,8.086410275323782,7.992944547318106
4,2.5,2720,11049,2.0,0,0,3,10,2720,0,1989,0,98004,47.5815,-122.192,2750,11049,975000,9,9,2014,0,25,8329,8299,0,0,7.908387159290043,7.908387159290043,7.919356190660617
3,1.5,2140,3600,2.0,0,0,3,9,1900,240,1925,0,98119,47.6337,-122.365,2020,4800,940000,14,11,2014,0,89,1460,2780,0,1,7.668561108015897,7.549609165154532,7.61085279039525
5,2.75,3520,6353,2.0,0,0,4,10,3520,0,2001,0,98199,47.6506,-122.391,2520,6250,1100000,11,3,2015,0,14,2833,3730,0,0,8.166216268592143,8.166216268592143,7.832014180505469
3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,700000,23,12,2014,0,75,3420,2930,0,1,7.365180126021013,7.162397497355718,7.358830898342354
4,2.5,3300,10250,1.0,0,0,3,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045,905000,8,9,2014,45,68,6950,4095,1,1,8.101677747454572,7.779048644925556,7.575584651557793
3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,0,98102,47.6415,-122.315,2200,4500,850830,11,6,2014,0,104,11171,2300,0,1,7.635303886259415,7.146772179452637,7.696212639346407
3,2.5,2920,8113,2.0,0,0,3,8,2920,0,1950,2010,98004,47.5814,-122.196,2370,8113,1090000,7,10,2014,60,64,5193,5743,1,0,7.979338895262328,7.979338895262328,7.7706452341291765
3,2.5,2400,6474,1.0,0,2,3,8,1560,840,1964,0,98177,47.7728,-122.386,2340,10856,660000,2,1,2015,0,51,4074,8516,0,1,7.783224016336037,7.352441100243583,7.757906208351747
3,2.25,2910,10204,2.0,0,0,3,9,2910,0,1990,0,98052,47.6897,-122.098,2700,13992,770000,18,6,2014,0,24,7294,11292,0,0,7.975908360165538,7.975908360165538,7.90100705199242
