bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price,day_bought,month_bought,yr_diff_renovated,yr_diff_bought,sqrt_diff,sqrt_diff_15,sqft_living_log,sqft_above_log,sqft_living15_log,0,1,2014,2015,0,1,0,1,0,1
3,1.0,1180,5650,1.0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,221900,13,10,0,59,4470,4310,7.07326971745971,7.07326971745971,7.200424892944957,1,0,1,0,1,0,1,0,0,1
3,2.25,2570,7242,2.0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,538000,9,12,40,63,4672,5949,7.851661177889265,7.682482446534506,7.432483807917119,1,0,1,0,0,1,0,1,0,1
2,1.0,770,10000,1.0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,180000,25,2,0,82,9230,5342,6.646390514847729,6.646390514847729,7.908387159290043,1,0,0,1,1,0,1,0,1,0
4,3.0,1960,5000,1.0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,604000,9,12,0,49,3040,3640,7.580699752224563,6.956545443151569,7.215239978730097,1,0,1,0,1,0,0,1,0,1
3,2.0,1680,8080,1.0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,510000,18,2,0,28,6400,5703,7.426549072397305,7.426549072397305,7.495541943884256,1,0,0,1,1,0,1,0,1,0
3,2.25,1715,6819,2.0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,257500,27,6,0,19,5104,4581,7.44716835960004,7.44716835960004,7.71333788887187,1,0,1,0,1,0,1,0,1,0
3,1.5,1060,9711,1.0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,291850,15,1,0,52,8651,8061,6.966024187106113,6.966024187106113,7.408530566894626,1,0,0,1,1,0,1,0,0,1
3,1.0,1780,7470,1.0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,229500,15,4,0,55,5690,6333,7.484368643286131,6.956545443151569,7.484368643286131,1,0,0,1,1,0,0,1,0,1
3,2.5,1890,6560,2.0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,323000,12,3,0,12,4670,5180,7.544332108053688,7.544332108053688,7.779048644925556,1,0,0,1,1,0,1,0,1,0
3,2.5,3560,9796,1.0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,662500,3,4,0,50,6236,6715,8.177515823846075,7.528331766707247,7.700747794511798,1,0,0,1,1,0,0,1,1,0
2,1.0,1160,6000,1.0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,468000,27,5,0,72,4840,4670,7.05617528410041,6.756932389247553,7.1929342212158,1,0,1,0,1,0,0,1,0,1
3,1.75,1370,9680,1.0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,400000,7,10,0,37,8310,8838,7.222566018822171,7.222566018822171,7.222566018822171,1,0,1,0,1,0,1,0,1,0
5,2.0,1810,4850,1.5,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,530000,12,3,0,115,3040,3490,7.501082124259871,7.501082124259871,7.215239978730097,1,0,0,1,1,0,1,0,0,1
4,3.0,2950,5000,2.0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,650000,24,1,0,36,2050,1860,7.989560449333865,7.590852123688581,7.668561108015897,1,0,0,1,1,0,0,1,0,1
3,2.0,1890,14040,2.0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,395000,31,7,0,20,12150,12128,7.544332108053688,7.544332108053688,7.544332108053688,1,0,1,0,1,0,1,0,1,0
4,1.0,1600,4300,1.5,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,485000,29,5,0,98,2700,2690,7.377758908227872,7.377758908227872,7.383989457978509,1,0,1,0,1,0,1,0,0,1
2,1.0,1200,9850,1.0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,189000,5,12,0,93,8650,4035,7.090076835776092,7.090076835776092,6.966024187106113,1,0,1,0,1,0,1,0,1,0
3,1.0,1250,9774,1.0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,230000,24,4,0,46,8524,7570,7.1308988302963465,7.1308988302963465,7.154615356913663,1,0,0,1,1,0,1,0,1,0
4,1.75,1620,4980,1.0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,385000,14,5,0,67,3360,3580,7.390181428226429,6.756932389247553,7.24422751560335,1,0,1,0,1,0,0,1,0,1
5,2.5,2270,6300,2.0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,285000,3,7,0,19,4030,4765,7.727535110475448,7.727535110475448,7.714231144849085,1,0,1,0,1,0,1,0,1,0
2,1.5,1070,9643,1.0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,252700,16,5,0,29,8573,7166,6.975413927455952,6.975413927455952,7.106606137727303,1,0,1,0,1,0,1,0,1,0
3,2.25,2450,6500,2.0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,329000,20,11,0,29,4050,4665,7.803843303538772,7.803843303538772,7.696212639346407,1,0,1,0,1,0,1,0,1,0
3,2.0,1710,4697,1.5,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,233000,3,11,0,73,2987,3675,7.444248649496705,7.444248649496705,6.937314081223682,1,0,1,0,1,0,1,0,1,0
3,1.75,2450,2691,2.0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,937000,26,6,0,99,241,1813,7.803843303538772,7.467371066917559,7.473069088032197,1,0,1,0,1,0,0,1,0,1
3,1.0,1400,1581,1.5,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,667000,1,12,0,105,181,2001,7.24422751560335,7.24422751560335,7.528331766707247,1,0,1,0,1,0,1,0,0,1
3,1.75,1520,6380,1.0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,438000,24,6,0,66,4860,4715,7.326465613840322,6.672032945461067,7.326465613840322,1,0,1,0,1,0,0,1,0,1
4,2.5,2570,7173,2.0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,719000,2,3,0,10,4603,3396,7.851661177889265,7.851661177889265,7.874739125171811,1,0,0,1,1,0,1,0,1,0
3,2.5,2320,3980,2.0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,580500,10,11,0,11,1660,1400,7.749322464660356,7.749322464660356,7.855544677915663,1,0,1,0,1,0,1,0,1,0
2,1.5,1190,1265,3.0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,280000,1,12,0,9,75,366,7.081708586105575,7.081708586105575,7.237059026124737,1,0,1,0,1,0,1,0,0,1
4,1.75,2330,5000,1.5,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000,687500,24,6,0,85,2670,3540,7.753623546559746,7.31986492980897,7.286191714702382,1,0,1,0,1,0,0,1,0,1
3,1.0,1090,3000,1.5,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,535000,10,11,0,85,1910,3510,6.993932975223189,6.993932975223189,7.358830898342354,1,0,1,0,1,0,1,0,0,1
4,2.75,2060,6659,1.0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720,322500,3,12,0,33,4599,6700,7.630461261783627,7.154615356913663,7.61085279039525,1,0,1,0,1,0,0,1,1,0
3,2.5,2300,3060,1.5,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264,696000,13,6,72,84,760,1674,7.7406644019172415,7.31986492980897,7.371489295214277,1,0,1,0,0,1,0,1,0,1
4,2.0,2360,6000,2.0,0,4,8,2360,0,1904,0,98107,47.6702,-122.362,1730,4700,640000,30,12,0,110,3640,2970,7.766416898019655,7.766416898019655,7.455876687491824,1,0,1,0,1,0,1,0,0,1
4,1.0,1220,8075,1.0,0,2,7,890,330,1969,0,98001,47.3341,-122.282,1290,7800,240000,13,2,0,46,6855,6510,7.106606137727303,6.7912214627261855,7.162397497355718,1,0,0,1,1,0,0,1,1,0
4,2.5,2620,7553,2.0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884,605000,20,6,0,18,4933,9264,7.8709295967551425,7.8709295967551425,7.8709295967551425,1,0,1,0,1,0,1,0,1,0
4,2.5,2570,5520,2.0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669,625000,15,7,0,14,2950,3199,7.851661177889265,7.851661177889265,7.8119734296220225,1,0,1,0,1,0,1,0,1,0
5,2.75,3595,5639,2.0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639,861990,7,7,0,0,2044,2014,8.187299270155147,8.187299270155147,8.195609567288775,1,0,1,0,1,0,1,0,1,0
