bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price,day_bought,month_bought,year_bought,yr_diff_renovated,yr_diff_bought,sqrt_diff,sqrt_diff_15,yr_renovated_binary,basement_binary,zip_binary
3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,221900,13,10,2014,0,59,4470,4310,0,0,1
3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,538000,9,12,2014,40,63,4672,5949,1,1,1
2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,180000,25,2,2015,0,82,9230,5342,0,0,0
4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,604000,9,12,2014,0,49,3040,3640,0,1,1
3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,510000,18,2,2015,0,28,6400,5703,0,0,0
3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,257500,27,6,2014,0,19,5104,4581,0,0,0
3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,291850,15,1,2015,0,52,8651,8061,0,0,1
3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,229500,15,4,2015,0,55,5690,6333,0,1,1
3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,323000,12,3,2015,0,12,4670,5180,0,0,0
3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,662500,3,4,2015,0,50,6236,6715,0,1,0
2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,468000,27,5,2014,0,72,4840,4670,0,1,1
3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,400000,7,10,2014,0,37,8310,8838,0,0,0
5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,530000,12,3,2015,0,115,3040,3490,0,0,1
4,3.0,2950,5000,2.0,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,650000,24,1,2015,0,36,2050,1860,0,1,1
3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,395000,31,7,2014,0,20,12150,12128,0,0,0
4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,485000,29,5,2014,0,98,2700,2690,0,0,1
2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,189000,5,12,2014,0,93,8650,4035,0,0,0
